date,name,value
1977,Motor Vehicle Accidents,0.21537199999999998
1978,Motor Vehicle Accidents,0.224204
1979,Motor Vehicle Accidents,0.226093
1980,Motor Vehicle Accidents,0.222619
1981,Motor Vehicle Accidents,0.21266999999999997
1982,Motor Vehicle Accidents,0.188368
1983,Motor Vehicle Accidents,0.182062
1984,Motor Vehicle Accidents,0.187771
1985,Motor Vehicle Accidents,0.185337
1986,Motor Vehicle Accidents,0.190686
1987,Motor Vehicle Accidents,0.192065
1988,Motor Vehicle Accidents,0.194639
1989,Motor Vehicle Accidents,0.188253
1990,Motor Vehicle Accidents,0.184367
1991,Motor Vehicle Accidents,0.169545
1992,Motor Vehicle Accidents,0.158368
1993,Motor Vehicle Accidents,0.16023199999999999
1994,Motor Vehicle Accidents,0.16125799999999998
1995,Motor Vehicle Accidents,0.16257
1996,Motor Vehicle Accidents,0.161983
1997,Motor Vehicle Accidents,0.15950999999999999
1998,Motor Vehicle Accidents,0.157716
1999,Motor Vehicle Accidents,0.164486
2000,Motor Vehicle Accidents,0.164148
2001,Motor Vehicle Accidents,0.163243
2002,Motor Vehicle Accidents,0.165056
2003,Motor Vehicle Accidents,0.1624
2004,Motor Vehicle Accidents,0.16045299999999998
2005,Motor Vehicle Accidents,0.15978900000000001
2006,Motor Vehicle Accidents,0.15793
2007,Motor Vehicle Accidents,0.15112
2008,Motor Vehicle Accidents,0.135889
2009,Motor Vehicle Accidents,0.122875
2010,Motor Vehicle Accidents,0.11841600000000001
2011,Motor Vehicle Accidents,0.11710899999999999
2012,Motor Vehicle Accidents,0.11885
2013,Motor Vehicle Accidents,0.11440399999999999
2014,Motor Vehicle Accidents,0.113245
2015,Motor Vehicle Accidents,0.119598
2016,Motor Vehicle Accidents,0.12670599999999999
2017,Motor Vehicle Accidents,0.125273
1962,All Other Accidents,0.39006199999999996
1963,All Other Accidents,0.387731
1964,All Other Accidents,0.373313
1965,All Other Accidents,0.381373
1966,All Other Accidents,0.38405900000000004
1967,All Other Accidents,0.376459
1968,All Other Accidents,0.368769
1969,All Other Accidents,0.364319
1970,All Other Accidents,0.34663499999999997
1971,All Other Accidents,0.33705100000000005
1972,All Other Accidents,0.33161599999999997
1973,All Other Accidents,0.33115700000000003
1974,All Other Accidents,0.313197
1975,All Other Accidents,0.29994499999999996
1976,All Other Accidents,0.27789200000000003
1977,All Other Accidents,0.27255100000000004
1978,All Other Accidents,0.26490199999999997
1979,All Other Accidents,0.252711
1980,All Other Accidents,0.253828
1981,All Other Accidents,0.233963
1982,All Other Accidents,0.22478299999999998
1983,All Other Accidents,0.22094499999999997
1984,All Other Accidents,0.212209
1985,All Other Accidents,0.212839
1986,All Other Accidents,0.208925
1987,All Other Accidents,0.203602
1988,All Other Accidents,0.207254
1989,All Other Accidents,0.201731
1990,All Other Accidents,0.19050999999999998
1991,All Other Accidents,0.188609
1992,All Other Accidents,0.185309
1993,All Other Accidents,0.193388
1994,All Other Accidents,0.191638
1995,All Other Accidents,0.192794
1996,All Other Accidents,0.194991
1997,All Other Accidents,0.195108
1998,All Other Accidents,0.200005
1999,All Other Accidents,0.18338800000000002
